AppID,Name,Discount,Price,Rating,Release,Ends,Started
747360,Gray Dawn,0.0,11.39,79.98,2018-06,5,-2
562500,Warstone TD,0.0,5.79,79.95,2018-05,7,-7
501840,Don't Disturb,0.0,3.44,79.88,2016-08,14,0
2073470,Kanjozoku Game レーサー Online Street Racing & Drift,0.0,5.09,79.87,2022-07,5,-2
1814010,Stuck In Time,0.0,7.46,79.86,2021-12,5,-2
574980,Them's Fightin' Herds,0.0,15.19,79.85,2020-04,5,-2
717640,Reigns: Her Majesty,0.0,3.46,79.68,2017-12,1,-6
646910,The Crew™ 2,0.0,35.99,79.65,2018-06,4,-3
249870,Scribblenauts Unmasked: A DC Comics Adventure,0.0,22.49,79.61,2013-09,12,-2
1266690,Dark Deception: Monsters & Mortals,0.8,2.17,79.58,2020-11,5,-2
409100,The Purring Quest,0.0,3.29,79.52,2015-11,5,-2
729660,Blackout Z: Slaughterhouse Edition,0.0,1.74,79.46,2017-10,10,-4
595440,CPU Invaders,0.0,1.74,79.44,2017-02,8,-6
576130,State of Anarchy: Master of Mayhem,0.0,2.39,79.26,2017-03,14,0
743640,Achievement Clicker,0.0,1.74,79.25,2017-11,5,-2
552440,The Talos Principle VR,0.0,26.69,79.2,2017-10,8,-6
676500,Time Warpers,0.0,18.99,79.08,2020-01,9,-5
1446850,Hentai Furry 2,0.0,1.74,79.03,2020-11,7,-7
365660,OlliOlli2: Welcome to Olliwood,0.0,9.39,78.88,2015-08,1,-6
285160,LEGO® The Hobbit™,0.0,22.49,78.85,2014-04,12,-2
466130,White Day: A Labyrinth Named School,0.0,22.24,78.81,2017-08,14,0
427250,8-Bit Armies,0.0,23.49,78.78,2016-04,1,-13
380150,STASIS,0.0,13.24,78.7,2015-08,12,-2
333250,Forward to the Sky,0.0,9.0,78.68,2015-01,5,-2
1113680,Hentai Girl Division,0.0,2.79,78.62,2019-08,5,-2
208140,ENDLESS™ Space - Definitive Edition,0.0,4.99,78.61,2012-07,1,-6
437570,GoNNER,0.0,4.94,78.54,2016-10,12,-2
308040,Back to Bed,0.0,2.39,78.48,2014-08,14,0
346810,Marble Age,0.0,5.12,78.45,2015-03,14,0
111600,Serious Sam Double D XXL,0.0,3.29,78.37,2011-08,1,-6
